userName,bookTitle,rating,comment
ana_lectora,Dune,5,Una obra maestra absoluta de la ciencia ficcion. La construccion del mundo de Arrakis es simplemente increible y los personajes son profundos y memorables.
carlos_books,El nombre del viento,5,Rothfuss es un narrador extraordinario. Kvothe es uno de los personajes mas fascinantes que he encontrado en la fantasia moderna.
maria_reads,1984,5,Escalofriante y mas relevante que nunca. Orwell predijo muchas cosas que vemos hoy en dia y eso lo hace aun mas perturbador.
pedro_lector,Orgullo y prejuicio,4,Jane Austen es una genio del retrato social. Elizabeth Bennet es un personaje adelantado a su tiempo que sigue siendo vigente hoy.
laura_fiction,El senor de los anillos,5,La obra cumbre de la fantasia epica. Tolkien creo un universo tan completo que sigue siendo insuperable despues de tantos anos.
javi_novels,Crimen y castigo,4,Dostoievski es un maestro de la psicologia humana. La espiral de culpa de Raskolnikov es perturbadora y absolutamente brillante.
sofia_reads,El gran Gatsby,4,Una critica perfecta al sueno americano. La prosa de Fitzgerald es poetica y melancolica de una manera que no he encontrado en otros autores.
miguel_books,Harry Potter y la piedra filosofal,5,El libro que me convirtio en lector. Rowling creo un mundo magico que ha marcado a generaciones enteras de lectores en todo el mundo.
elena_leer,El codigo Da Vinci,4,Un thriller adictivo que no puedes dejar de leer. Dan Brown sabe perfectamente como mantener la tension durante toda la novela.
david_fiction,La sombra del viento,5,Zafon captura Barcelona de una manera magica. Una novela que mezcla perfectamente el misterio el romance y la historia de posguerra.
lucia_novelas,Sapiens,5,Harari tiene el don de hacer accesible lo complejo. Una vision panoramica de la humanidad que te hace replantearte muchas cosas sobre nuestra especie.
pablo_lector,El alquimista,3,Bonito pero algo simplista. El mensaje es inspirador pero la historia se siente demasiado alegorica y los personajes poco desarrollados.
sara_reads,Matar a un ruisenor,5,Una novela fundamental sobre la justicia y la igualdad. Atticus Finch es el modelo de integridad moral que todos deberíamos seguir.
jorge_books,Fahrenheit 451,5,Una distopia que cobra mas sentido cada dia. Bradbury vislumbro nuestra sociedad adicta a las pantallas con una precision asombrosa.
alba_fiction,El principito,5,Aparentemente un libro infantil pero con una profundidad enorme. Cada vez que lo releo encuentro algo nuevo que no habia visto antes.
ivan_lector,Tokio Blues,5,Murakami en estado puro. Una historia melancolica y hermosa que te deja un vacio cuando termina porque no quieres que acabe nunca.
nuria_reads,Los juegos del hambre,4,Adictivo desde la primera pagina. Collins crea un mundo distopico muy bien construido y Katniss es una protagonista fuerte y creible.
alex_novels,La chica del tren,4,Un thriller psicologico muy bien construido con narradoras poco fiables que te mantienen en tension hasta la ultima pagina.
marta_books,El perfume,5,Una novela fascinante y perturbadora. Suskind logra hacer que casi puedas oler cada escena que describe con una precision extraordinaria.
hugo_lector,It,4,King en su maxima expresion. Perturbador y adictivo a partes iguales aunque algo largo en la parte adulta de la historia.
paula_reads,El silencio de los corderos,5,Hannibal Lecter es uno de los mejores villanos de la historia de la literatura. Un thriller que te tiene en tension constante hasta el final.
ruben_fiction,El conde de Montecristo,5,La venganza mas elaborada de la literatura. Dumas es un maestro del entretenimiento y esta novela es adictiva de principio a fin.
irene_books,Los pilares de la tierra,5,Una novela epica e hipnotica. Follett construye personajes tan reales que te olvidas de que es ficcion historica.
andres_lector,Memorias de una geisha,4,Una ventana fascinante al Japon del siglo XX. La historia de Sayuri es cautivadora aunque algunos elementos culturales son debatibles.
clara_reads,El diario de Ana Frank,5,Devastador y necesario. La voz de Ana es tan viva y llena de esperanza que hace aun mas tragico conocer su destino final.
marcos_novels,Habitos atomicos,5,El mejor libro de productividad que he leido. Los conceptos son claros y practicos y los puedes aplicar desde el primer dia sin complicaciones.
vera_fiction,La ladrona de libros,5,Una historia hermosa y devastadora. Que la muerte sea la narradora es un recurso brillante que le da una perspectiva unica a toda la novela.
diego_books,Juego de tronos,5,Martin reinvento la fantasia epica. Los personajes son complejos moralmente ambiguos y nadie esta a salvo lo que hace la lectura adictiva e impredecible.
natalia_reads,El monje que vendio su Ferrari,4,Inspirador y practico. Algunas partes son algo repetitivas pero el mensaje central sobre vivir con proposito es poderoso y transformador.
admin_bookshelf,Cien anos de soledad,5,La obra cumbre de la literatura latinoamericana. Garcia Marquez creo algo irrepetible que ningún otro escritor ha conseguido igualar hasta hoy.
